feature,importance
n_dias_semana,1286
roll_std_3,1195
roll_mean_3,1123
n_fines_de_semana,1103
lag_1,952
pct_change_1,917
n_dias_laborales,844
lag_3,806
pct_change_3,690
lag_12,643
roll_mean_12,616
roll_std_12,598
pct_change_12,573
n_festivos,280
femenino_adultos,228
femenino_adolescentes,200
anio,146
mes,122
proporcion_menores,122
proporcion_adolescentes,121
densidad_poblacional,118
mes_cos,114
femenino_menores,108
masculino_adultos,103
centros_por_km2,93
poblacion_total,78
proporcion_adultos,67
masculino_adolescentes,65
mes_sin,62
area,58
poblacion_adultos,54
n_centros_poblados,49
masculino_menores,46
Shape_Leng,34
poblacion_adolescentes,23
poblacion_menores,18
Shape_Area,15
trimestre,7
es_fin_ano,2
area_km2,1
